name,t,date,p_up,actual_up,n_up
AK-47 | Bloodsport (Field-Tested),30,2026-08-20,1.0,1,10
AK-47 | Bloodsport (Field-Tested),32,2026-08-22,1.0,0,10
AK-47 | Bloodsport (Field-Tested),33,2026-08-23,0.7,0,7
AK-47 | Bloodsport (Field-Tested),35,2026-08-25,0.6,0,6
AK-47 | Bloodsport (Field-Tested),36,2026-08-26,0.6,0,6
AK-47 | Bloodsport (Field-Tested),38,2026-08-28,0.7,0,7
AK-47 | Bloodsport (Field-Tested),39,2026-08-29,0.8,0,8
AK-47 | Bloodsport (Field-Tested),41,2026-08-31,0.7,0,7
AK-47 | Bloodsport (Field-Tested),42,2026-09-03,0.1,0,1
AK-47 | Bloodsport (Field-Tested),44,2026-09-05,0.6,0,6
AK-47 | Breakthrough (Field-Tested),30,2026-08-20,1.0,1,10
AK-47 | Breakthrough (Field-Tested),32,2026-08-22,1.0,1,10
AK-47 | Breakthrough (Field-Tested),33,2026-08-23,1.0,1,10
AK-47 | Breakthrough (Field-Tested),35,2026-08-25,0.4,1,4
AK-47 | Breakthrough (Field-Tested),36,2026-08-26,0.7,1,7
AK-47 | Breakthrough (Field-Tested),38,2026-08-28,0.5,1,5
AK-47 | Breakthrough (Field-Tested),39,2026-08-29,0.3,0,3
AK-47 | Breakthrough (Field-Tested),41,2026-08-31,0.1,0,1
AK-47 | Breakthrough (Field-Tested),42,2026-09-03,0.8,1,8
AK-47 | Breakthrough (Field-Tested),44,2026-09-05,0.1,0,1
AK-47 | Fire Serpent (Minimal Wear),30,2026-08-20,1.0,0,10
AK-47 | Fire Serpent (Minimal Wear),32,2026-08-22,0.8,0,8
AK-47 | Fire Serpent (Minimal Wear),33,2026-08-23,1.0,0,10
AK-47 | Fire Serpent (Minimal Wear),35,2026-08-25,0.9,1,9
AK-47 | Fire Serpent (Minimal Wear),36,2026-08-26,0.6,1,6
AK-47 | Fire Serpent (Minimal Wear),38,2026-08-28,0.2,1,2
AK-47 | Fire Serpent (Minimal Wear),39,2026-08-29,0.4,1,4
AK-47 | Fire Serpent (Minimal Wear),41,2026-08-31,0.6,0,6
AK-47 | Fire Serpent (Minimal Wear),42,2026-09-03,0.9,1,9
AK-47 | Fire Serpent (Minimal Wear),44,2026-09-05,1.0,1,10
AK-47 | Jungle Spray (Minimal Wear),30,2026-08-20,1.0,0,10
AK-47 | Jungle Spray (Minimal Wear),32,2026-08-22,1.0,0,10
AK-47 | Jungle Spray (Minimal Wear),33,2026-08-23,0.7,0,7
AK-47 | Jungle Spray (Minimal Wear),35,2026-08-25,0.9,0,9
AK-47 | Jungle Spray (Minimal Wear),36,2026-08-26,0.8,0,8
AK-47 | Jungle Spray (Minimal Wear),38,2026-08-28,1.0,0,10
AK-47 | Jungle Spray (Minimal Wear),39,2026-08-29,0.9,0,9
AK-47 | Jungle Spray (Minimal Wear),41,2026-08-31,0.9,0,9
AK-47 | Jungle Spray (Minimal Wear),42,2026-09-03,0.7,0,7
AK-47 | Jungle Spray (Minimal Wear),44,2026-09-05,0.6,0,6
AK-47 | Panthera onca (Factory New),30,2026-08-20,1.0,1,10
AK-47 | Panthera onca (Factory New),32,2026-08-22,1.0,1,10
