date,name,hash_name,score,tag,entry,r7,r14,r30,sig_稀缺,sig_买盘/求购,sig_溢价,sig_流动性
2026-06-16,FN57 | 氮化处理 (久经沙场),Five-SeveN | Nitro (Field-Tested),48.0,buff,202.0,-1.98,4.29,-4.95,False,True,True,False
2026-06-16,猎杀者匕首（★） | 蓝钢 (略有磨损),★ Huntsman Knife | Blue Steel (Minimal Wear),48.0,buff,957.0,2.82,1.92,6.79,False,True,True,False
2026-06-16,鲍伊猎刀（★ StatTrak™） | 都市伪装 (久经沙场),★ StatTrak™ Bowie Knife | Urban Masked (Field-Tested),48.0,buff,497.0,-3.62,-0.74,-7.35,True,False,True,False
2026-06-16,折刀（★ StatTrak™） | 夜色 (久经沙场),★ StatTrak™ Navaja Knife | Night Stripe (Field-Tested),48.0,buff,412.0,-3.64,-5.1,-4.13,False,True,True,False
2026-06-16,鲍伊猎刀（★ StatTrak™） | 狩猎网格 (久经沙场),★ StatTrak™ Bowie Knife | Safari Mesh (Field-Tested),48.0,buff,517.0,-3.68,-12.96,1.55,True,False,True,False
2026-06-16,弯刀（★ StatTrak™） | 狩猎网格 (久经沙场),★ StatTrak™ Falchion Knife | Safari Mesh (Field-Tested),48.0,buff,484.99,-3.72,-5.15,-7.83,True,False,True,False
2026-06-16,双持贝瑞塔 | 报应 (崭新出厂),Dual Berettas | Retribution (Factory New),48.0,buff,37.95,4.98,0.9,12.41,False,True,True,False
2026-06-16,弯刀（★ StatTrak™） | 枯焦之色 (久经沙场),★ StatTrak™ Falchion Knife | Scorched (Field-Tested),48.0,buff,588.0,0.68,-0.34,-0.26,True,False,True,False
2026-06-16,P90 | 星辰巨蟒 (略有磨损),P90 | Astral Jörmungandr (Minimal Wear),48.0,buff,2518.0,-24.86,-20.07,-7.17,False,True,True,False
2026-06-16,穿肠刀（★ StatTrak™） | 致命紫罗兰 (久经沙场),★ StatTrak™ Gut Knife | Ultraviolet (Field-Tested),48.0,buff,477.0,1.47,10.06,-0.31,True,False,True,False
2026-06-16,M4A4 | 现代猎手 (略有磨损),M4A4 | Modern Hunter (Minimal Wear),48.0,buff,779.0,6.93,8.99,6.03,False,True,True,False
2026-06-16,穿肠刀（★ StatTrak™） | 深红之网 (久经沙场),★ StatTrak™ Gut Knife | Crimson Web (Field-Tested),48.0,buff,696.0,-2.01,-2.44,-6.32,True,False,True,False
2026-06-16,鲍伊猎刀（★ StatTrak™） | 噩梦之夜 (久经沙场),★ StatTrak™ Bowie Knife | Night (Field-Tested),48.0,buff,631.0,1.27,3.12,-0.95,True,False,True,False
2026-06-16,AUG | 璞玉 (久经沙场),AUG | Carved Jade (Field-Tested),48.0,buff,124.0,4.84,10.48,-6.45,False,True,True,False
2026-06-16,九头蛇手套（★） | 翡翠色调 (崭新出厂),★ Hydra Gloves | Emerald (Factory New),48.0,buff,1113.0,-3.68,11.77,-0.36,True,False,True,False
2026-06-16,P2000 | 草原落叶 (久经沙场),P2000 | Grassland Leaves (Field-Tested),48.0,buff,41.08,6.57,9.93,5.72,False,True,True,False
2026-06-16,穿肠刀（★ StatTrak™） | 枯焦之色 (久经沙场),★ StatTrak™ Gut Knife | Scorched (Field-Tested),48.0,buff,517.0,-3.87,-9.86,-1.45,True,False,True,False
2026-06-16,双持贝瑞塔 | 报应 (略有磨损),Dual Berettas | Retribution (Minimal Wear),48.0,buff,35.88,-14.72,-13.38,-27.12,True,False,True,False
2026-06-16,折刀（★ StatTrak™） | 北方森林 (久经沙场),★ StatTrak™ Navaja Knife | Boreal Forest (Field-Tested),48.0,buff,418.0,3.35,9.57,1.2,True,False,True,False
2026-06-16,Tec-9 | 骨化之色 (略有磨损),Tec-9 | Ossified (Minimal Wear),48.0,buff,179.0,-3.35,-10.24,-18.99,False,True,True,False
2026-06-16,弯刀（★ StatTrak™） | 大马士革钢 (久经沙场),★ StatTrak™ Falchion Knife | Damascus Steel (Field-Tested),48.0,buff,821.0,-2.68,-3.9,-6.7,True,False,True,False
2026-06-16,MP9 | 彩绘玻璃 (略有磨损),MP9 | Stained Glass (Minimal Wear),48.0,buff,817.0,-1.59,0.2,-9.3,False,True,True,False
2026-06-16,P250 | 多面体 (崭新出厂),P250 | Facets (Factory New),48.0,buff,316.0,0.0,0.0,-16.46,False,True,True,False
2026-06-16,AK-47 | 黑色层压板 (崭新出厂),AK-47 | Black Laminate (Factory New),48.0,buff,1772.0,6.83,16.4,13.74,False,True,True,False
2026-06-16,P2000 | 海之泡沫 (略有磨损),P2000 | Ocean Foam (Minimal Wear),48.0,buff,953.0,-7.14,-16.19,-17.73,False,True,True,False
2026-06-16,SCAR-20 | 撕起来 (崭新出厂),SCAR-20 | Torn (Factory New),46.4,buff,20.33,14.31,13.08,-6.49,True,False,True,False
2026-06-16,骷髅匕首（★） | 狩猎网格 (崭新出厂),★ Skeleton Knife | Safari Mesh (Factory New),45.9,buff,1457.0,10.91,9.81,9.27,False,True,True,False
2026-06-16,系绳匕首（★ StatTrak™） | 枯焦之色 (久经沙场),★ StatTrak™ Paracord Knife | Scorched (Field-Tested),44.1,buff,431.99,1.62,-4.17,-8.45,False,True,True,False
2026-06-16,P250 | 狂野飞溅 (久经沙场),P250 | Splash (Field-Tested),43.2,buff,162.0,-14.81,-12.14,-16.98,True,False,True,False
2026-06-16,穿肠刀（★ StatTrak™） | 噩梦之夜 (久经沙场),★ StatTrak™ Gut Knife | Night (Field-Tested),43.0,buff,475.52,3.78,0.48,3.24,False,True,True,False
2026-06-15,FN57 | 氮化处理 (久经沙场),Five-SeveN | Nitro (Field-Tested),48.0,buff,202.0,0.5,9.16,-4.95,False,True,True,False
2026-06-15,折刀（★ StatTrak™） | 北方森林 (略有磨损),★ StatTrak™ Navaja Knife | Boreal Forest (Minimal Wear),48.0,buff,456.0,19.3,-7.02,-1.64,False,False,True,False
2026-06-15,Tec-9 | 骨化之色 (略有磨损),Tec-9 | Ossified (Minimal Wear),48.0,buff,180.0,-7.78,-12.22,-19.44,False,True,True,False
